feature,theta,se_within,se_across,se_combined,t_stat,p_raw,ci_lo,ci_hi,p_bh,sig_bh,sig_raw,spec,dimension,feature_label
transit_orient,-0.001887542404649,0.0275412780922101,0.0240640024935337,0.0365731898384766,-0.0516100021076989,0.9588394494335846,-0.0735696772878096,0.0697945924785115,0.9588394494335846,,,RF_NoTravel,D7,transit_orient (binary)
open_space_green,0.060207525127687,0.0312961401213038,0.0243157785382658,0.0396321267712732,1.5191595816989465,0.1287223323026501,-0.0174700159747341,0.1378850662301082,0.4505281630592755,,,RF_NoTravel,D8,open_space_green (LLM)
density_permissions,-0.07909546449147203,0.03130286834434824,0.04557784768298322,0.055292040711089854,-1.4305036217555984,0.1525725270885284,-0.1874658729169306,0.029274943933986525,0.26700192240492465,,,GB_NoTravel,D1,density_permissions (LLM)
min_lot_area,-0.008994226437290703,0.01239351633091399,0.02381410258967457,0.026846056119962516,-0.33502971151887995,0.7376026735574708,-0.06161152955935834,0.04362307668477693,0.8152450602477309,,,GB_NoTravel,D1,"min_lot_area (scraped, inv.)"
max_height,-0.009007624640848838,0.019347786009369025,0.014288765566218655,0.024052144288414117,-0.3745040164750632,0.7080293689455845,-0.05614896119710127,0.038133711915403594,0.8152450602477309,,,GB_NoTravel,D1,max_height (scraped)
use_mixing,-0.03653107831848873,0.017267635196123385,0.04513130230136681,0.04832189641025853,-0.7559943013894905,0.44965261237076726,-0.13124025494727076,0.058178098310293316,0.6744789185561508,,,GB_NoTravel,D2,use_mixing (LLM)
use_flexibility,0.044569282949525474,0.016300020903140797,0.019506621177615775,0.02542044356831397,1.7532850215517135,0.07955309525926689,-0.005253870915402761,0.09439243681445371,0.26700192240492465,,†,GB_NoTravel,D2,use_flexibility (LLM)
parking_intensity,0.07562759590496103,0.023129111171140262,0.04258094593199802,0.048457122696572735,1.5607116497304947,0.1185918013055932,-0.019346619374759955,0.170601811184682,0.26700192240492465,,,GB_NoTravel,D4,"parking_intensity (LLM, inv.)"
reduced_parking,0.002876561374320137,0.01494679154121804,0.017780408085883027,0.02322820460296408,0.12383916120461019,0.9014426243001632,-0.04264988307301697,0.04840300582165724,0.9014426243001632,,,GB_NoTravel,D4,reduced_parking (binary)
ped_street_interface,0.022949879854004693,0.023748138663831506,0.03921601981943913,0.045846159059131794,0.5005845707686053,0.6166635234266264,-0.06690694073138835,0.11280670043939774,0.8152450602477309,,,GB_NoTravel,D3,ped_street_interface (LLM)
