feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid
ped_street_interface,D4a,ped_street_interface (LLM),GB_Full,0.03544167510823848,0.018491377107579088,0.012239653550791872,2.8956436520987556,0.0037838180240777923,0.011452394965438623,0.05943095525103834,50
ped_street_interface,D4a,ped_street_interface (LLM),GB_NoTravel,0.09500144462891946,0.02452353303081795,0.018643100391305657,5.095796441305657,3.4727812779869225e-07,0.058461639301795786,0.13154124995604313,50
front_setback,D4a,"front_setback (scraped, inv.)",RF_Full,-0.0844038850329804,0.050066988637708386,0.0406540845435336,-2.0761477224409814,0.037880290576189295,-0.16408442656275274,-0.0047233435032080495,50
front_setback,D4a,"front_setback (scraped, inv.)",RF_NoTravel,-0.14878953879624063,0.05485254904599771,0.044136530833189976,-3.371119931436778,0.0007486325897455372,-0.2352955496318346,-0.06228352796064665,50
front_setback,D4a,"front_setback (scraped, inv.)",GB_Full,0.008034157587660686,0.01742410383360276,0.017549598205858236,0.4577972380574959,0.6470981202818324,-0.02636242283897021,0.04243073801429158,50
front_setback,D4a,"front_setback (scraped, inv.)",GB_NoTravel,0.022054961114527018,0.022445362223699777,0.02171261761036924,1.0157670305027748,0.3097403395307782,-0.02050098741188683,0.06461090964094086,50
lot_width,D4a,"lot_width (scraped, inv.)",RF_Full,0.03670537271306239,0.012308082806014514,0.010352679278288276,3.545495009204158,0.0003918764084491316,0.016414494184123246,0.05699625124200153,50
lot_width,D4a,"lot_width (scraped, inv.)",RF_NoTravel,0.022128952116691292,0.014472938728330028,0.012990299356296624,1.7034982420143385,0.08847486671755624,-0.0033315667700439394,0.047589471003426524,50
lot_width,D4a,"lot_width (scraped, inv.)",GB_Full,0.036289741302610756,0.008227792416685744,0.006254578138901892,5.802108550998469,6.548614245605219e-09,0.02403099341187149,0.048548489193350024,50
lot_width,D4a,"lot_width (scraped, inv.)",GB_NoTravel,0.0463994178185341,0.010298690551151951,0.007795843668582811,5.951814811977745,2.651853372253723e-09,0.031119844999007183,0.06167899063806102,50
frontage_std,D4a,frontage_std (binary),RF_Full,0.04476181605058129,0.030034609209634914,0.02742089583744465,1.6323980192308933,0.10259566614482044,-0.008982152214634505,0.0985057843157971,50
frontage_std,D4a,frontage_std (binary),RF_NoTravel,0.07201537723466389,0.03790394039256575,0.03176268293509072,2.2672951583413905,0.023372201044950573,0.009761662629521106,0.13426909183980668,50
frontage_std,D4a,frontage_std (binary),GB_Full,0.02804612119375322,0.014350794251896252,0.009549298495530174,2.936982356021337,0.0033142295946237093,0.009329840064891556,0.04676240232261488,50
frontage_std,D4a,frontage_std (binary),GB_NoTravel,0.06176273979030542,0.01937324376253611,0.014406690137805109,4.2870874017225935,1.8103107908840937e-05,0.033526145983779024,0.08999933359683182,50
transparency_activation,D4b,transparency_activation (LLM),RF_Full,0.05029544241528851,0.05166752354242802,0.03891104550501874,1.2925749427319142,0.19615811059576693,-0.025968805375347376,0.1265596902059244,50
transparency_activation,D4b,transparency_activation (LLM),RF_NoTravel,0.05486433158699311,0.061415165894522644,0.04288575558124127,1.2793136285790756,0.2007866352608736,-0.029190204802027386,0.1389188679760136,50
transparency_activation,D4b,transparency_activation (LLM),GB_Full,0.03666990463229247,0.022710385354990738,0.018884327924625206,1.9418167688390346,0.052159286109530655,-0.0003426979722169557,0.07368250723680189,50
