backend,zone_class,context,causal_score
hybrid,CG,Non-Residential,0.0074075708578704
hybrid,OP,Non-Residential,0.0046767586477676
hybrid,RO-1,Residential,-0.0055998849034704
hybrid,RS-50,Residential,-0.0078169769009628
hybrid,RM-24/18,Residential,-0.0166394662079055
hybrid,RS-60,Residential,-0.0192273156585096
hybrid,RM-16,Residential,-0.0210157166212764
hybrid,SH-RO,Residential,-0.0234258442225153
hybrid,YC-5,Non-Residential,-0.0340512565566819
hybrid,M-AP-1,Other/PD,-0.0437048158137894
hybrid,CI,Non-Residential,-0.0448431768040796
hybrid,YC-1,Non-Residential,-0.0449872456228345
hybrid,RM-18,Residential,-0.0508910491572125
hybrid,RM-35,Residential,-0.0560418998115997
hybrid,SH-CG,Non-Residential,-0.0570769852379678
hybrid,RS-100,Residential,-0.0574088383347564
hybrid,SH-RS-A,Residential,-0.0585275763656167
hybrid,RS-75,Residential,-0.0590970041610601
hybrid,M-AP-3,Other/PD,-0.0841083734725159
hybrid,RM-12,Residential,-0.0901508867456187
hybrid,YC-7,Non-Residential,-0.1011596203506597
hybrid,CN,Non-Residential,-0.1157754861930019
hybrid,RO,Residential,-0.1162379443796571
hybrid,SH-RM,Residential,-0.1209139960252781
hybrid,SH-PD,Residential,-0.1229316945146968
hybrid,CD-2,Non-Residential,-0.127658749211099
hybrid,YC-3,Non-Residential,-0.1437901392989207
hybrid,SH-CN,Non-Residential,-0.1454854053771477
hybrid,M-AP-2,Other/PD,-0.1734222716017177
hybrid,OP-1,Non-Residential,-0.1856689682240845
hybrid,NMU-35,Non-Residential,-0.1971793174956856
hybrid,RM-24,Residential,-0.2081905695072576
hybrid,M-AP-4,Other/PD,-0.2112896274604001
hybrid,YC-9,Residential,-0.3483899490846396
